JURISDICCION;OBJETIVO;EJE1;EJE2;NOMBRE_PROYECTO;DESCRIPCION_PROYECTO;FECHA_INICIO;FECHA_FIN;ETIQUETA;BARRIO
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;BARRIO CASTRO: REJA DE RESGUARDO DE LOS ESPACIOS VERDES;EL OBJETIVO DE ESTE PROYECTO ES MANTENER RESGUARDADO EL ESPACIO VERDE DE LOS EDIFICIOS HABITACIONALES DEL BARRIO CASTRO, Y MEJORAR LA SEGURIDAD Y LA LIMPIEZA PARA QUIENES VIVEN EN EL COMPLEJO. PARA ELLO, SE INTERVINO EL SECTOR UBICADO ENTRE C. ALVAREZ, AV. ESCALADA Y DELLEPIANE NORTE, Y SE COLOCO UNA REJA PERIMETRAL EN LAS AREAS VERDES DEL COMPLEJO.;1/7/2017;15/1/2018;SISTEMA INTEGRAL DE SEGURIDAD/ ESPACIO PUBLICO;VILLA LUGANO
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA LAS TOSCANERAS: PUESTA EN VALOR;ESTE PROYECTO PUSO EN VALOR LA PLAZA LAS TOSCANERAS, UBICADA EN LA COMUNA 10. LA PROPUESTA CONTEMPLO LA COLOCACION DE UNA REJA PERIMETRAL Y EL REEMPLAZO DE JUEGOS Y POSTAS DEPORTIVAS QUE ESTABAN DETERIORADAS. ADEMAS, SE INCORPORARON NUEVOS ARBOLES EN LAS CAZOLETAS SOBRE JOSE VARELA, NUEVOS ARBUSTOS EN LOS CANTEROS Y SE COLOCARAN NUEVOS PANES DE CESPED. TAMBIEN SE GENERARON NUEVAS AREAS DE CONFORT EN LA PLAZA, CON NUEVOS BANCOS PARA DESCANSO.;1/7/2017;15/1/2018;ESPACIO PUBLICO/ CULTURA;VILLA REAL
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;BA ELIGE: MAS ILUMINACION EN LA PLAZA DR JUAN B TERAN;COLOCAR LUMINARIA EN LA PLAZA DR. JUAN B TERRAN. MAS INFORMACION EN: BAELIGE.BUENOSAIRES.GOB.AR/ .;1/1/2018;30/8/2018;PARTICIPACION CIUDADANA/ ESPACIO PUBLICO;VILLA REAL
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA OFERTA Y CALIDAD DEL TRANSPORTE PUBLICO EN GENERAL PARA POTENCIAR SU USO Y REDUCIR SU IMPACTO AMBIENTAL.;ESCALA HUMANA;;BA ELIGE: SEÑALIZACION ELECTRONICA EN PARADAS DE COLECTIVOS (COMUNA 10);CON ESTE PROYECTO SE COLOCARAN PANTALLAS DE SEÑALIZACION ELECTRONICA CON EL TIEMPO DE ARRIBO DE LOS COLECTIVOS E INFORMACION DE LAS LINEAS EN LA COMUNA 10.;1/1/2018;31/12/2018;PARTICIPACION CIUDADANA/ ESPACIO PUBLICO/ TRANSPORTE PUBLICO;VILLA REAL/ MONTECASTRO/ VERSALLES/ FLORESTA/ VELEZ SARSFIELD/ VILLA LURO
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;CREACION DE UN NUEVO ESPACIO VERDE EN EL BARRIO SANTA RITA;ESTE PROYECTO GENERO UN NUEVO ESPACIO VERDE PARA LOS VECINOS DEL BARRIO SANTA RITA, EN LA COMUNA 11. LA OBRA INCLUYO LA CONSTRUCCION DE NUEVAS VEREDAS PARA REVALORIZAR EL ESPACIO PUBLICO COMO AMBITO DE INTERACCION, LA MEJORA DE LAS CONDICIONES DE HABITABILIDAD Y SEGURIDAD DE LA VIA PUBLICA Y LA INCORPORACION DE NUEVA VEGETACION. SE CAMBIARON LAS BALDOSAS DE LAS VEREDAS POR BALDOSAS GRANITICAS, QUE PERMITEN MEJORAR LA ACCESIBILIDAD. ADEMAS SE INCORPORO SUPERFICIE ABSORBENTE CON NUEVA VEGETACION, PARA GENERAR UN NUEVO ESPACIO VERDE Y ACONDICIONADO PARA LOS VECINOS. EN LOS NUEVOS CANTEROS SE PLANTARON ESPECIES CON FLORACION PARA DAR COLOR A LOS FRENTISTAS.;1/1/2017;27/2/2018;ESPACIO PUBLICO/ OBRAS PUBLICAS;VILLA SANTA RITA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA SEGURIDAD VIAL Y LA ACCESIBILIDAD FISICA.;ESCALA HUMANA;DISFRUTE;ENTORNO PARQUE ROCA: PUESTA EN VALOR;ESTE PROYECTO PREVE LA PUESTA EN VALOR DEL EDIFICIO DE EDUCACION VIAL DE PARQUE ROCA, A PARTIR DE LAS SIGUIENTES INTERVENCIONES: REACONDICIONAMIENTO DE LA ESCUELA DE EDUCACION VIAL, OBRAS DE INSTALACION ELECTRICA Y PINTURA, INCORPORACION DE NUEVO MOBILIARIO, PUESTA EN VALOR DEL AULA DE EDUCACION VIAL, MEJORAS EN LA SEGURIDAD MEDIANTE LA REPARACION Y COLOCACION DE UN CERCO PERIMETRAL EN EL PREDIO.;1/1/2018;31/12/2018;ESPACIO PUBLICO/ OBRAS PUBLICAS/ EDUCACION;VILLA SOLDATI
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PARQUE INDOAMERICANO: INSTALACION ELECTRICA;ESTE PROYECTO REALIZO UNA INSTALACION ELECTRICA EN EL PARQUE INDOAMERICANO PARA ILUMINAR EL PREDIO, QUE TIENE 6 CANCHAS MULTIDEPORTESS, 1 CANCHA DE FUTBOL 11 Y 3 VESTUARIOS.;30/8/2017;3/11/2017;OBRAS PUBLICAS/ DEPORTES;VILLA SOLDATI
MINISTERIO DE EDUCACION;MEJORAR LA INFRAESTRUCTURA Y LOS ENTORNOS DE LOS ESTABLECIMIENTOS EDUCATIVOS.;INTEGRACION SOCIAL;ESCALA HUMANA;BA ELIGE: RESTAURACION DE LA ESCUELA NUMERO 23;PINTAR LA ESCUELA Nº23.;1/1/2018;31/12/2018;PARTICIPACION CIUDADANA/ EDUCACION/ OBRAS PUBLICAS;VILLA SOLDATI
MINISTERIO DE SALUD;FORTALECER Y PERFILAR LA RED DE HOSPITALES.;INTEGRACION SOCIAL;;PLAN DE OBRAS DE SALUD: HOSPITAL CECILIA GRIERSON;COMO PARTE DEL PLAN DE OBRAS QUE SE REALIZA EN TODA LA RED DE SALUD PUBLICA, ESTE PROYECTO PREVE LA REALIZACION DE OBRAS INFRAESTRUCTURA, SERVICIOS BASICOS, REFUERZO DE REDES DE ENERGIA ELECTRICA, INTERCONEXIONES DE REDES DE GAS Y AGUA, Y OBRAS PARA GARANTIZAR LA ACCESIBILIDAD DE PERSONAS CON MOVILIDAD REDUCIDA EN EL HOSPITAL GRIERSON.;1/8/2016;31/5/2020;SALUD/ OBRAS PUBLICAS;VILLA SOLDATI
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;BA ELIGE: PISTA DE ATLETISMO ROTONDA ESCALADA Y CASTAÑARES;SE CONSTRUIRA UNA PISTA DE ATLETISMO EN LA ROTONDA DE ESCALADA Y CASTAÑARES EN LA CUAL PROFESORES DE EDUCACION FISICA PODRAN BRINDAR ACTIVIDADES PARA LOS VECINOS.;1/1/2018;30/9/2018;PARTICIPACION CIUDADANA/ ESPACIO PUBLICO/ OBRAS PUBLICAS/ DEPORTES;VILLA SOLDATI 
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA OFERTA Y CALIDAD DEL TRANSPORTE PUBLICO EN GENERAL PARA POTENCIAR SU USO Y REDUCIR SU IMPACTO AMBIENTAL.;ESCALA HUMANA;;BA ELIGE: SEÑALIZACION ELECTRONICA EN PARADAS DE COLECTIVOS (COMUNA 8);CON ESTE PROYECTO SE COLOCARAN PANTALLAS DE SEÑALIZACION ELECTRONICA CON EL TIEMPO DE ARRIBO DE LOS COLECTIVOS E INFORMACION DE LAS LINEAS EN LA COMUNA 8.;1/1/2018;31/12/2018;PARTICIPACION CIUDADANA/ ESPACIO PUBLICO/ TRANSPORTE PUBLICO;VILLA SOLDATI/ VILLA RIACHUELO/ VILLA LUGANO
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA SEGURIDAD VIAL Y LA ACCESIBILIDAD FISICA.;ESCALA HUMANA;DISFRUTE;BA ELIGE: SEMAFORO EN CALLE ALTOAGUIRRE CRUCE CON OLAZABAL;SE COLOCARA UN SEMAFORO EN ALTOLAGUIRRE Y OLAZABAL.;1/4/2018;30/6/2018;PARTICIPACION CIUDADANA/ ESPACIO PUBLICO/ TRANSPORTE PUBLICO;VILLA URQUIZA
ENTE AUTARQUICO TEATRO COLON;DESARROLLAR ACCIONES DE FORTALECIMIENTO INSTITUCIONAL PARA ROBUSTECER EL POSICIONAMIENTO DEL TEATRO COLON COMO UNO DE LOS PRINCIPALES TEATROS LIRICOS A NIVEL MUNDIAL.;CREATIVIDAD;;CREACION DE UN ESPACIO ABIERTO DEL TEATRO COLON EN EL DISTRITO DE LAS ARTES;"ESTE PROYECTO CREARA UN ESPACIO ABIERTO DEL TEATRO COLON EN EL DISTRITO DE LAS ARTES. EL ESPACIO, QUE PREVE LA REALIZACION DE VISITAS GUIADAS Y ESPECTACULOS, ALBERGARA LAS ESCENOGRAFIAS DEL TEATRO COLON. EL PROYECTO FINAL CONSISTE EN UNA CIUDADELA CON ESPACIOS CERCANOS ENTRE SI Y CAMINABLES, QUE SE SUMARA COMO ATRACCION AL DISTRITO DE LAS ARTES. LA PRIMERA ETAPA INCLUYE LA CONSTRUCCION DE UN DEPOSITO DE ESCENOGRAFIAS, TELONES, UTILERIA, VESTUARIOS, TALLERES; Y LA CONSTRUCCION DE UN ESPACIO EXPOSITIVO, ESPACIOS GASTRONOMICOS Y UNA ESCUELA DE ESPECIALIDADES ESCENOTENICAS. LUEGO DE LA SELECCION DEL ESPACIO Y PARALELAMENTE A LA ETAPA DE REACONDICIONAMIENTO, SE REALIZARAN VISITAS GUIADAS, EXHIBICION DE TRAJES Y ESPECTACULOS. EN LA SEGUNDA ETAPA SE COMENZARA CON LA MUDANZA DE LOS TALLERES Y DEPOSITO.";1/1/2018;31/12/2019;ESPACIO PUBLICO/ CULTURA/ TURISMO;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;PROYECTAR INTERNACIONALMENTE LA CIUDAD Y LA GESTION DEL GCBA.;CREATIVIDAD;;URBAN 20 (U20);EN 2018, LA ARGENTINA PRESIDIRA Y SERA SEDE DEL G20. EN ESTE CONTEXTO, JUNTO CON PARIS Y EL GRUPO DE LIDERAZGO CLIMATICO DE CIUDADES C40, LA CIUDAD DE BUENOS AIRES LANZO EL URBAN 20 (U20), UN NUEVO ESPACIO PARA QUE LAS CIUDADES CONTRIBUYAN EN LA AGENDA DE DESARROLLO DEL G20. PARA ELLO, U20 BUSCA COORDINAR UNA POSICION CONJUNTA ENTRE LOS ALCALDES DE LAS PRINCIPALES CIUDADES DEL G20 Y OTROS CENTROS URBANOS GLOBALES PARA INFORMAR Y ENRIQUECER LAS DISCUSIONES DE LOS LIDERES NACIONALES EN LA CUMBRE DEL G20 EN TRES TEMAS: EMPLEOS DEL FUTURO, INTEGRACION SOCIAL Y ACCION CLIMATICA. ASI, U20 ELEVARA EL PERFIL DE LOS ASUNTOS URBANOS EN LA AGENDA DEL G20 Y CULMINARA EN UNA CUMBRE INAUGURAL DE ALCALDES U20 QUE SE REALIZARA EN LA CIUDAD DE BUENOS AIRES EN OCTUBRE DE 2018.;1/5/2017;31/10/2018;EMPRENDEDORISMO E INNOVACION;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;PROYECTAR INTERNACIONALMENTE LA CIUDAD Y LA GESTION DEL GCBA.;CREATIVIDAD;;G20 EN BUENOS AIRES;EL G20 ES UN FORO INTERNACIONAL DE DISCUSION Y TOMA DE DECISIONES SOBRE LOS GRANDES DESAFIOS DE LA AGENDA DEL DESARROLLO. DURANTE 2018, LA ARGENTINA PRESIDIRA EL G20 Y ORGANIZARA LA CUMBRE DE ALTO NIVEL QUE SE REALIZARA EN LA CIUDAD DE BUENOS AIRES. ESTE PROYECTO BUSCA PREPARAR A LA CIUDAD PARA EL DESARROLLO DE LAS REUNIONES PREPARATORIAS Y ESPECIALMENTE PARA LA CUMBRE DE LA QUE PARTICIPARAN LOS PRINCIPALES LIDERES MUNDIALES. INCLUYE UNA ESTRATEGIA DE POSICIONAMIENTO Y RELACIONAMIENTO DE LA CIUDAD, ASI COMO DE COMUNICACION A LOS VECINOS DURANTE SU REALIZACION.;1/11/2017;5/12/2018;EMPRENDEDORISMO E INNOVACION;
SINDICATURA GENERAL DE LA CIUDAD DE BUENOS AIRES;PROMOVER LA EXCELENCIA ACADEMICA Y PROFESIONAL DE TODOS LOS AGENTES DE LA SINDICATURA GENERAL Y LA UNIDADES DE AUDITORIA INTERNA.;DISFRUTE;;II CONGRESO ARGENTINO DE CONTROL INTERNO;ESTE PROYECTO CONTEMPLA REALIZAR EL II CONGRESO ARGENTINO DE CONTROL INTERNO, UN ESPACIO DE REFLEXION, DEBATE Y PROPUESTAS, ORIENTADO A LOS TEMAS DEL CONTROL INTERNO DEL SECTOR PUBLICO DESDE UNA VISION ACADEMICA, INSTITUCIONAL Y DE GESTION.;1/2/2018;31/12/2018;ATENCION AL VECINO;
PROCURACION GENERAL;JERARQUIZAR A LA PROCURACION GENERAL COMO UNA INSTITUCION MODELO DE LA ABOGACIA PUBLICA.;CREATIVIDAD;;PROCURACION GENERAL: EVENTOS ACADEMICOS Y PROFESIONALES;"ESTE PROYECTO CONTEMPLA LA ORGANIZACION Y EL DICTADO DE SEIS DIPLOMATURAS DE ABOGACIA PUBLICA: UN POST-POSTGRADO EN ABOGACIA PUBLICA, LOCAL Y FEDERAL; UN PROGRAMA DE ESPECIALIZACION EN ABOGACIA ESTATAL, LOCAL Y FEDERAL; UN PROGRAMA DE DIPLOMATURA SOBRE REGIMEN ADMINISTRATIVO Y PRESUPUESTARIO; UN PROGRAMA DE DIPLOMATURA SOBRE REGIMEN JURIDICO DE LOS INGRESOS PUBLICOS, Y UN PROGRAMA DE DIPLOMATURA SOBRE DERECHO PROCESAL CONSTITUCIONAL Y ADMINISTRATIVO.";1/1/2018;31/12/2018;EMPRENDEDORISMO E INNOVACION/ ATENCION AL VECINO;
MINISTERIO DE AMBIENTE Y ESPACIO PUBLICO;PROMOVER EL BIENESTAR ANIMAL Y LA TENENCIA RESPONSABLE DE MASCOTAS Y CONTRIBUIR CON LA CONVIVENCIA ARMONICA EN EL ESPACIO PUBLICO.;DISFRUTE;ESCALA HUMANA;ADOPCION DE MASCOTAS;ESTE PROYECTO PROMUEVE LA ADOPCION RESPONSABLE DE PERROS Y GATOS ADULTOS. PARA ELLO, EN CONJUNTO CON MAS DE 80 ORGANIZACIONES NO GUBERNAMENTALES DEDICADAS AL BIENESTAR ANIMAL, EL GOBIERNO DE LA CIUDAD REALIZA UNA JORNADA MASIVA MENSUAL DE CONCIENTIZACION SOBRE LA ADOPCION DE MASCOTAS.;1/1/2018;31/12/2018;EDUCACION/ PARTICIPACION CIUDADANA/ ESPACIO PUBLICO;
MINISTERIO DE EDUCACION;MEJORAR LA INFRAESTRUCTURA Y LOS ENTORNOS DE LOS ESTABLECIMIENTOS EDUCATIVOS.;INTEGRACION SOCIAL;ESCALA HUMANA;BA ELIGE: INSTALACION DE PANELES SOLARES EN ESCUELAS PUBLICAS (ESCUELA N°10);CON ESTE PROYECTO SE COLOCARAN PANELES SOLARES EN LA ESCUELA NUMERO 10 UBICADA EN LA CALLE O'HIGGINS 2441, BELGRANO.;1/2/2018;15/12/2018;PARTICIPACION CIUDADANA/ EMPRENDEDORISMO E INNOVACION ;
MINISTERIO DE AMBIENTE Y ESPACIO PUBLICO;PROMOVER EL BIENESTAR ANIMAL Y LA TENENCIA RESPONSABLE DE MASCOTAS Y CONTRIBUIR CON LA CONVIVENCIA ARMONICA EN EL ESPACIO PUBLICO.;DISFRUTE;ESCALA HUMANA;BA AMIGA DE LAS MASCOTAS (2018);ESTE PROGRAMA BUSCA QUE LOCALES GASTRONOMICOS, PERMITAN LA PERMANENCIA DE MASCOTAS EN LAS MESAS EXTERIORES. LOS LOCALES QUE ADHIERAN A ESTA INICIATIVA RECIBIRAN KITS CON LOS ELEMENTOS NECESARIOS PARA SU ADECUADA IMPLEMENTACION, COMO ASI TAMBIEN UN MANUAL DE RECOMENDACIONES Y MERCHANDISING. MAS INFORMACION EN: HTTP://WWW.BUENOSAIRES.GOB.AR/MASCOTAS/BUENOS-AIRES-AMIGA-DE-LAS-MASCOTAS.;1/1/2018;31/12/2018;EDUCACION/ PARTICIPACION CIUDADANA/ ESPACIO PUBLICO;
MINISTERIO DE AMBIENTE Y ESPACIO PUBLICO;PROMOVER EL BIENESTAR ANIMAL Y LA TENENCIA RESPONSABLE DE MASCOTAS Y CONTRIBUIR CON LA CONVIVENCIA ARMONICA EN EL ESPACIO PUBLICO.;DISFRUTE;ESCALA HUMANA;SERVICIO DE ATENCION CLINICA VETERINARIA Y CASTRACION GRATUITA;ESTE PROYECTO PROVEE SERVICIO DE ATENCION CLINICA VETERINARIA BASICA Y CASTRACIONES GRATUITAS A PERROS Y GATOS, MACHOS Y HEMBRAS, EN TODA LA CIUDAD, TODOS LOS DIAS, EN CUMPLIMIENTO DE LAS LEYES 1.338 Y 4.351.;1/1/2018;31/12/2018;SALUD/ PARTICIPACION CIUDADANA/ ESPACIO PUBLICO;
