JURISDICCION;OBJETIVO;EJE1;EJE2;NOMBRE_PROYECTO;DESCRIPCION_PROYECTO;FECHA_INICIO;FECHA_FIN;ETIQUETA;BARRIO
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA DE LAS MADRES;SE AUMENTO LA SUPERFICIE ABSORBENTE. SE COLOCO NUEVO SOLADO. SE COLOCARON TEPES Y ARBUSTIVAS. SE REPARARON VADOS PEATONALES. SE CREO NUEVO CORDON PERIMETRAL.;16/2/2017;4/9/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;SAN CRISTOBAL
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA DEL CABALLITO;SE CREO UN NUEVO PATIO DE JUEGOS, SE PLANTARON NUEVOS CANTEROS, SE DISEÑO E INSTALO UN NUEVO SISTEMA DE RIEGO.;15/1/2017;19/6/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;CABALLITO
MINISTERIO DE GOBIERNO;FOMENTAR LAS RELACIONES CON LAS PROVINCIAS Y MUNICIPIOS A TRAVES DE DIFUSION CULTURAL, EDUCATIVA Y TURISTICA DE LA CIUDAD.;CREATIVIDAD;DISFRUTE;BA EN TU CIUDAD;EL PROYECTO TIENE COMO OBJETIVO VISUALIZAR Y FORTALECER LA IMAGEN DE LA CIUDAD EN EL RESTO DEL PAIS, PROMOVIENDO LA PARTICIPACION DE LAS DISTINTAS AREAS DE GOBIERNO QUE SE HAN POSICIONADO COMO REFERENTES EN GESTION DE POLITICAS PUBLICAS, MEDIANTE PRESENCIAS EN FIESTAS NACIONALES, PROVINCIALES Y OTROS EVENTOS.;2/1/2017;27/12/2017;GOBIERNO ABIERTO/ TURISMO;
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA EMILIO MITRE;SE AUMENTO LA SUPERFICIE ABSORBENTE. SE INSTALO UN NUEVO SISTEMA DE RIEGO. SE REALIZO PAISAJISMO,  COLOCANDO TEPES Y ARBUSTIVAS.;16/2/2017;1/7/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;RECOLETA
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA EN AVENIDA CHICLANA Y PAVON;REALIZACION DE TRABAJOS DE PAISAJISMO, PROVISION DE PLANTAS, CAMBIO E INCREMENTO DE EQUIPAMIENTO URBANO, PUESTA EN VALOR DE UN MONUMENTO, REPARACION DE CAZOLETAS, CANTEROS Y CAMINO.;16/3/2017;17/10/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;SAN CRISTOBAL
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA PORTO ALEGRE VEREDAS;INCORPORACION DE CANTEROS, VEGETACION Y SISTEMA DE RIEGO, NUEVO EQUIPAMIENTO, INSTALACION DE POSTAS AEROBICAS Y EJECUCION DE VEREDAS DE PLAZA PORTO ALEGRE.;16/3/2017;30/1/2018;OBRAS PUBLICAS/ ESPACIO PUBLICO;AGRONOMIA
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA MALAVER;ACONDICIONAMIENTO DEL SISTEMA DE RIEGO, INCORPORACION DE NUEVOS ARBOLES Y ARBUSTOS, NIVELACION Y REEMPLAZO DEL CESPED SINTETICO EN LA CANCHA DE FUTBOL 5. REEMPLAZO DEL PISO DE ARENA DE LA CANCHA DE BOCHAS Y ACONDICIONAMIENTO DEL MOBILIARIO DE PLAZA MALAVER.;16/2/2017;10/10/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;VILLA ORTUZAR
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA MATEU;SE CREO UN NUEVO CANIL. SE INSTALARON NUEVOS BEBEDEROS E INCORPORARON ARBUSTOS Y TEPES. SE INSTALO UN NUEVO SISTEMA DE RIEGO Y NUEVO EQUIPAMIENTO. CONSTRUCCION DE NUEVAS POSTAS DEPORTIVAS. SE INCORPORARON NUEVOS JUEGOS. SE ACONDICIONARON CAMINOS INTERNOS DE GRANZA.;15/1/2017;4/9/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;LA BOCA
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA NOBEL;SE REPARARON SOLADOS GENERALES DE LA PLAZA Y REPUSO LA GRANZA. SE INCORPORO UN NUEVO SISTEMA DE RIEGO. SE REALIZO UNA NUEVA PARQUIZACION (COLOCACION DE TEPES Y SIEMBRA). SE REPARO EL PATIO DE JUEGOS (COLOCACION DE SOLADO ANTIGOLPE, NUEVOS JUEGOS Y NUEVO ARENERO).SE COLOCO NUEVO EQUIPAMIENTO (BEBEDERO, REPARACION DE BANCOS, RESTAURACION DE CARTELES Y CESTOS PAPELEROS).;15/1/2017;3/6/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;PARQUE CHAS
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA OLIVERA;RECONSTRUCCION DE LA TOTALIDAD DE LA VEREDAS. INCORPORACION DE POSTAS AEROBICAS. PERFILADO DE LOS BORDES DE LOS ESPACIOS VERDES. PUESTA EN VALOR DE CESTOS Y BANCOS EXISTENTES. INCORPORACION DE MOBILIARIO URBANO. PUESTA EN VALOR DE JUEGOS EXISTENTES, INCORPORACION DE JUEGOS INCLUSIVOS Y COLOCACION DE SOLADO ANTI GOLPE. PROVISION DE SISTEMA DE RIEGO. PINTURA DE REJA Y REEMPLAZO DE PAÑOS DE LA REJA DEL PATIO DE JUEGOS. AUMENTO DE LA SUPERFICIE ABSORBENTE, INCORPORACION DE TEPES DE GRAMMA BAHIANA, ARBUSTOS Y ARBOLES EN PLAZA OLIVERA.;16/3/2017;29/12/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;PARQUE AVELLANEDA
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA PERIODISTAS;MEJORA DE ILUMINACION, INCORPORACION DE MOBILIARIO URBANO, MEJORA DE LAS POSTAS AEROBICAS Y PATIO DE JUEGOS, REPARACION DE LAS VEREDAS Y CAMINOS EN MAL ESTADO.;16/2/2017;30/11/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;FLORES
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA ZAPIOLA;SE REPARARON LAS VEREDAS. SE REALIZARON NUEVOS CAMINOS INTERNOS. SE INSTALO UN NUEVO BEBEDERO. SE INSTALARON NUEVO JUEGOS Y SE ACONDICIONARON LOS EXISTENTES. SE INSTALARON NUEVOS JUEGOS INCLUSIVOS. SE COLOCO NUEVO SOLADO ANTI GOLPE. SE INSTALO UN NUEVO NUEVO SISTEMA DE RIEGO. SE PINTO LA REJA DEL PATIO DE JUEGOS. -NUEVOS TEPES DE GRAMMA BAHIANA, ARBUSTOS Y ARBOLES.;15/1/2017;3/7/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;VILLA URQUIZA
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZOLETA CAYETANO A SILVA Y GARCIA DE COSSIO;CREACION DE VADOS PEATONALES PARA MEJORAR SU ACCESIBILIDAD. REALIZACION DE CAMINOS EN INTERTRABADO PARA MANTENER LA SUPERFICIE ABSORBERTE. INSTALACION DE EQUIPAMIENTO COMO BANCO, CESTOS Y LUMINARIAS, CREACION DE POSTAS DE GIMNASIA, GENERACION DE SECTORES DE DESCANSO CON INCORPORACION DE NUEVO EQUIPAMIENTO URBANO. AUMENTO DE LA CANTIDAD DE ARBOLES Y ARBUSTOS. INCORPORACION DE NUEVAS LUMINARIAS LED EN LA PLAZOLETA CAYETANO A SILVA Y GARCIA DE COSSIO.;16/2/2017;21/12/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;LINIERS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (SBASE);MEJORAR LA FRECUENCIA Y CALIDAD DEL SUBTE PARA AUMENTAR LA CANTIDAD DE PASAJEROS QUE VIAJAN EN EL  .;DISFRUTE;;LINEA H;SE AVANZA EN LA EXTENSION DE LA LINEA CON LA CONSTRUCCION DE FACULTAD DE DERECHO.;30/7/2015;27/12/2018;TRANSPORTE PUBLICO/ OBRAS PUBLICAS;RECOLETA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;PARQUE LINEAL CAMINO DE SIRGA – ETAPA III;CONSISTE EN UN PARQUE LINEAL RECREATIVO PARA RECONFIGURAR Y REHABILITAR EL AREA DEL BORDE COSTERO A TRAVES DE LA CONSTRUCCION DE UN PASEO RIBEREÑO, BICISENDA, ESPACIOS VERDES, ALUMBRADO Y EQUIPAMIENTO GENERAL.;2/1/2017;30/9/2019;ESPACIO PUBLICO;BARRACAS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;CASA TRANS;CONSISTE EN LA PUESTA EN VALOR Y RECICLAJE DE LA PB DEL INMUEBLE. ES LA SEDE ADMINISTRATIVA DE ASOCIACION DE TRAVESTIS, TRANSEXUALES Y TRANSGENEROS DE LA ARGENTINA (ATTTA).;7/11/2016;28/6/2017;DERECHOS;SAN CRISTOBAL
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;CENTRO CULTURAL RECOLETA;CONSISTE EN LA PUESTA EN VALOR DE LAS INSTALACIONES E INFRAESTRUCTURA DEL CENTRO CULTURAL RECOLETA.;1/10/2016;13/11/2018;CULTURA/ OBRAS PUBLICAS;RECOLETA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;COMISARIA 22;EL NUEVO EDIFICIO ALOJA A LA SEDE PROVISORIA DE LA COMISARIA 22, CON MOTIVO DE SU TRASLADO DESDE LA UBICACION ORIGINAL EN AV. HUERGO 640, DEBIDO A LAS OBRAS DE CONSTRUCCION DEL PASEO DEL BAJO. GRACIAS A ELLA, SE PROMUEVE LA REVALORIZACION DEL BAJO AUTOPISTA CON UN AUMENTO EN LA SEGURIDAD DE LA ZONA.;1/11/2016;28/2/2017;SISTEMA INTEGRAL DE SEGURIDAD/ OBRAS PUBLICAS;LA BOCA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;PAVIMENTACION DE LA CALLE CORBETA URUGUAY;REALIZACION DE UNA CALLE PAVIMENTADA UBICADA EN LA CALLE CORBETA URUGUAY, ENTRE LA AV. CASTILLO Y LA AV. ANTARTIDA ARGENTINA. ESTA CALLE PERIMITIO ORDENAR EL TRANSITO DE VEHICULOS PESADOS QUE ESPERABAN SOBRE LA AV. COMODORO PY PARA INGRESAR AL PUERTO (TERMINAL RIO DE LA PLATA). SE ENMARCA DENTRO DE LAS OBRAS DE PASEO DEL BAJO.;23/11/2016;30/7/2017;ESPACIO PUBLICO;RETIRO
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;PUESTA EN VALOR Y ACTUALIZACION TECNOLOGICA DEL TEATRO COLON: 4TO PISO;ADECUACION DEL 4TO PISO. EL AREA DE INTERVENCION ALBERGA OFICINAS DEPENDIENTES DEL TEATRO COLON Y CUENTA CON 80 PUESTOS DE TRABAJO.;7/2/2017;10/11/2017;CULTURA/ OBRAS PUBLICAS;SAN NICOLAS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;NUEVA AUTOPISTA ILIA;SE ESTA CONSTRUYENDO LA NUEVA ILLIA.  LA EXTENSION TOTAL DE LA NUEVA TRAZA ES DE 1,9 KM ENTRE LOS LIMITES DE LA INTERVENCION.ESTA INICIATIVA PERMITIRA LA REFUNCIONALIZACION DE LA AU ILLIA, CONVIRTIENDOLA EN UNA VIA RAPIDA URBANA Y CREANDO EN EL SECTOR BAJO AUTOPISTA UN ESPACIO PUBLICO DE UNOS 64.500M2. FACILITARA LA CONEXION DE LA CIUDAD Y MEJORARA LA FLUIDEZ DEL TRANSITO EN EL AREA,  ADEMAS DE PROMOVER LA INTERCONECTIVIDAD E INTEGRACION DEL ENTRAMADO URBANO ENTRE LOS BARRIOS 31 Y 31 BIS, LA ZONA PORTUARIA Y LA CIUDAD AUTONOMA DE BUENOS AIRES.;1/1/2017;30/11/2018;OBRAS PUBLICAS/ TRANSPORTE PUBLICO;RETIRO/ RECOLETA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;TEATRO COLON: MANTENIMIENTO DEL TECHO;MANTENIMIENTO DE LA CUBIERTA Y SUBCUBIERTA DE ZINC DEL TEATRO COLON.;15/5/2017;31/12/2017;CULTURA/ OBRAS PUBLICAS;SAN NICOLAS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;TEATRO COLON: CORTAFUEGO;EL OBJETO DE LA INTERVENCION ES COMPLETAR LA SEPARACION DE RIESGOS ENTRE LA CAJA ESCENICA Y LA SALA PRINCIPAL DEL TEATRO, MEDIANTE LA EJECUCION DE PROTECCIONES CONTRA EL FUEGO EN LOS TRAMOS METALICOS DEL PLANO, COMPLETAR LOS SELLADOS DE PASES Y JUNTAS EN LOS MUROS MRF Y DEL TELON CORTAFUEGO.;8/2/2017;31/1/2018;CULTURA;SAN NICOLAS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;ADECUACION DE UN NUEVO EDIFICIO PARA EL INSTITUTO SUPERIOR DE ARTE DE ENSEÑANZA;ADECUACION DE UN NUEVO EDIFICIO QUE ESTARA DESTINADO A UN INSTITUTO SUPERIOR DE ARTE DE ENSEÑANZA DEPENDIENTE DEL TEATRO COLON A DONDE ASISTIRAN NIÑOS Y ADULTOS.;29/12/2016;31/5/2017;OBRAS PUBLICAS/ EDUCACION/ CULTURA;SAN NICOLAS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;LABORATORIO POLICIA CIENTIFICA;CONSTRUCCION DE LAS NUEVAS INSTALACIONES PARA EL LABORATORIO DE ADN DE LA POLICIA FEDERAL ARGENTINA CON MOTIVO DE SU TRASLADO EN EL MARCO DE LA CONSTRUCCION DE PASEO DEL BAJO.;1/12/2016;30/9/2017;SISTEMA INTEGRAL DE SEGURIDAD/ OBRAS PÙBLICAS ;PARQUE PATRICIOS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;MAMBA;AMPLIACION Y REMODELACION DEL MUSEO. ALBERGARA NUEVAS SALAS DE EXPOSICIONES Y TALLERES, CON SUS RESPECTIVOS SANITARIOS Y DEPOSITOS AMPLIANDO LA SUPERFICIE TOTAL DEL MUSEO.;1/12/2016;31/5/2018;CULTURA/ OBRAS PUBLICAS;SAN TELMO
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;MANUEL DE FALLA;RENOVACION Y ACTUALIZACION INTEGRAL DEL CONSERVATORIO, QUE COMPRENDE LA CONSTRUCCION DE NUEVAS AULAS, SALAS Y ACTUALIZACION DE INSTALACIONES PARA LA EDUCACION MUSICAL DE NIVEL SUPERIOR.;3/10/2016;20/1/2018;CULTURA/ EDUCACION;ALMAGRO
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;RECUPERACION DEL EDIFICIO HISTORICO COMASTRI;CONSISTE EN LA RECUPERACION DEL MIRADOR COMASTRI. LA OBRA COMPRENDE REALIZAR LOS TRABAJOS EN LAS AREAS NO INTERVENIDAS ANTERIORMENTE, LOCALES EN PLANTA BAJA Y EN 1ER PISO.;22/12/2016;28/2/2018;OBRAS PUBLICAS;CHACARITA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;SANIDAD DE FRONTERA;EDIFICIO QUE ALOJARA A LA SEDE DE SANIDAD DE FRONTERAS, CON MOTIVO DE SU TRASLADO DEBIDO A LAS OBRAS DE CONSTRUCCION DEL PASEO DEL BAJO. PROMUEVE LA RECUPERACION FUNCIONAL Y SOCIAL DE UN PREDIO URBANO SIN USO ACTUAL EN UN LUGAR ESTRATEGICO, MEJORANDO LAS CONDICIONES DE SEGURIDAD EN EL AREA.;2/1/2017;30/3/2017;OBRAS PUBLICAS;LA BOCA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;REGENERAR EL ESPACIO PUBLICO PARA PROMOVER EL DESARROLLO SOSTENIBLE DE CABA.;ESCALA HUMANA;;LINEA H- FACULTAD DE DERECHO;EJECUCION DE LA ETAPA 2 DE LA LINEA H: INCLUYE LA EJECUCION DE 4 ESTACIONES DEL TRAMO NORTE + 2 TALLERES, COCHERAS Y ESTACION SAENZ EN EL TRAMO SUR.;31/7/2015;27/12/2018;TRANSPORTE PUBLICO;RECOLETA
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;EFICIENTIZAR LOS TRAMITES DE REGISTRO DE OBRAS Y CATASTRO.;DISFRUTE;;TEATRO GENERAL SAN MARTIN;PUESTA EN VALOR Y RENOVACION DE INSTALACIONES Y ACTUALIZACION TECNOLOGICA DEL TEATRO SAN MARTIN.;25/8/2014;28/2/2018;OBRAS PUBLICAS/ CULTURA;SAN NICOLAS
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;AUMENTAR EL USO DE PASES Y REDUCIR EL TIEMPO PROMEDIO DE SU TRAMITACION (AUSA) .;DISFRUTE;ESCALA HUMANA;VIADUCTO MITRE;EL VIADUCTO ELEVARA LA VIA DEL TREN MITRE RAMAL TIGRE ENTRE LAS AVENIDAS DORREGO Y CONGRESO. CON ESTA OBRA SE ELIMINAN 8 BARRERAS Y SE INAUGURAN 4 CRUCES SEGUROS QUE CONTRIBUYE A LA CONECTIVAD Y SEGURIDAD DE DOS BARRIOS PORTEÑOS: BELGRANO Y NUÑEZ. SE INAUGURAN ESPACIOS VERDES A LOS LADOS DE LA VIA Y BAJO EL VIADUCTO.;30/11/2016;31/7/2019;OBRAS PUBLICAS/ TRANSPORTE PUBLICO;PALERMO
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE;AUMENTAR EL USO DE PASES Y REDUCIR EL TIEMPO PROMEDIO DE SU TRAMITACION (AUSA) .;DISFRUTE;ESCALA HUMANA;VIADUCTO SAN MARTIN;EL PROYECTO  ELEVARA LAS VIAS DEL TREN A LO LARGO DE 5 KM, ENTRE PALERMO Y LA PATERNAL. SE ELIMINARAN 11 BARRERAS Y SE CREAN 9 CRUCES SEGUROS. SE ELIMAN LAS DEMORAS E INTERRUPCIONES DE TRANSITO, MEJORA LAS CONDICIONES DE SEGURIDAD VIAL, AUMENTA LA FRECUENCIA DEL SERVICIO DE TREN Y SUMA ESPACIOS VERDES.;1/2/2017;30/9/2019;OBRAS PUBLICAS/ TRANSPORTE PUBLICO;PALERMO
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;PLAZA PASO;LA INTERVENCION CONTEMPLO LA CONSTRUCCION DE UN PLAYON DEPORTIVO DE FUTBOL/BASQUET CON DEMARCACION, AROS Y ARCOS. PUESTA EN VALOR DEL PATIO DE JUEGOS CON SOLADO ANTIGOLPES. SE REALIZARON VEREDAS INTERIORES EN HORMIGON PEINADO Y CORDONES DIVISORIOS DE CANTEROS. NUEVO CANIL PARA PERROS. INTERVENCION EN PAISAJISMO: CESPED Y PLANTACIONES . SE CREARON SECTORES DE DESCANSO CON GRANZA.;30/10/2016;2/5/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;COLEGIALES
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;AVENIDA YRIGOYEN - ETAPA IV;REACONDICIONAMIENTO  DE LAS ACERAS DE LA AV. HIPOLITO YRIGOYEN DESDE EL 3800 AL 3900. REMPLAZO DE LAS ACERAS DE BALDOSAS DE DIVERSAS TIPOLOGIAS POR LAS DE HORMIGON PEINADO GRIS CLARO CON SOLIAS DE SEPARACION ENTRE TRAMOS DE HORMIGON LLANEADO COLOR GRIS OSCURO. INCORPORACION DE ILUMINACION PEATONAL, REEMPLAZO DE CESTOS DE BASURA Y COLOCACION DE BICICLETERO EN ZONAS COMERCIALES.;1/1/2017;20/12/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;MONTSERRAT
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;BARCAZAS RIACHUELO;INTERVENCION ARTISTICA DE BARCAZAS. HOMENAJE A QUINQUELA MARTIN Y PUNTO DE ATRACCION A VISITANTES.;13/12/2016;30/4/2017;ESPACIO PUBLICO/ TURISMO/ CULTURA;MONTSERRAT
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;BOULEVARD BILBAO;REALIZACION DE TRABAJOS DE ILUMINACION CON INCORPORACION DE NUEVAS LUMINARIAS, PROPUESTA DE PAISAJISMO A LA QUE SE LE INCORPORO UN SISTEMA DE RIEGO POR GOTEO.;13/12/2016;18/8/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;SAN NICOLAS
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;CALLES SUSTENTABLES - PASAJE TROILO;MEJORA DE LA UTILIZACION DEL ESPACIO PUBLICO. SECTORIZACION DE UNA UNICA SENDA DE ESTACIONAMIENTO VEHICULAR A 45 GRADOS. CREACION DE NUEVAS SUPERFICIES VERDES.;30/10/2016;8/5/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;MONTSERRAT
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;ENTORNO PLAZA PASO;REALIZACION DE NUEVA VEREDA, RAMPAS DE ACCESO Y COLOCACION DE REJA PERIMETRAL.;30/12/2016;30/5/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;MONTSERRAT
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;CORRALON DE FLORESTA;GENERACION DE UNA NUEVA PLAZA QUE PROPONE INVOLUCRAR DISTINTAS ACTIVIDADES Y USOS, YA SEAN CULTURALES, SOCIALES, DEPORTIVOS Y/O RECREATIVOS, HACIENDO USO DE LAS CONSTRUCCIONES EXISTENTES DE VALOR HISTORICO Y CONMEMORATIVO PARA LA COMUNIDAD. GENERACION DE NUEVAS SUPERFICIES ABSORBENTES, INCORPORACION DE SISTEMA DE RIEGO AUTOMATICO, REMODELACION DE TEATRO EL EPICO Y NAVE CONTIGUA, INCORPORACION DE DE DOS ENTREPISOS METALICOS SUMANDO SUPERFICIE DE USO Y ORDENANDO LAS ACTIVIDADES, CONSTRUCCION DE UN ANFITEATRO, CREACION DE AREAS DE DESCANSO Y JUEGOS.  .;1/1/2017;14/12/2018;OBRAS PUBLICAS/ ESPACIO PUBLICO;FLORESTA
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;NUEVA SEDE COMUNA 10;GENERACION Y REORGANIZACION DE ESPACIOS DE TRABAJO FLUIDOS.;1/1/2017;2/10/2018;OBRAS PUBLICAS/ GOBIERNO ABIERTO/ ATENCION AL VECINO;FLORESTA 
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;ILUMINACION BASILICA;INCORPORACION DE LUMINARIAS DE LED, EN REEMPLAZO DE LOS VIEJOS ARTEFACTOS DE ILUMINACION EXISTENTES.;13/12/2016;30/5/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;MONTSERRAT
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;LATERAL DE AU 25 DE MAYO;RECUPERACION EEVV, INSTALACION DE CENTROS DE RECICLADO, MEJORA INFRAESTRUCTURA E ILUMINACION SOBRE EL LATERAL DE AU 25 DE MAYO.;29/11/2016;15/4/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;MONTSERRAT
SUBSECRETARIA DE GESTION COMUNAL;PONER EN VALOR EL ESPACIO PUBLICO COMUNAL.;ESCALA HUMANA;DISFRUTE;NUEVA SEÑALETICA EN PLAZAS;OBRAS DE PUESTA EN VALOR DEL ESPACIO PUBLICO PARA QUE LOS VECINOS DE TODAS LAS COMUNAS CONTINUEN DISFRUTANDO DE SU USO.;13/12/2016;31/3/2017;OBRAS PUBLICAS/ ESPACIO PUBLICO;MONTSERRAT
